[Fecha],[Titulo],[Texto],[Snippet],[URL]
"Asambleístas piden 10 mdp para damnificados por lluvias en V. Carranza · 
CDMX. 2017-09-06",Lluvia | El Universal,,"Asambleístas piden 10 mdp para damnificados por lluvias en V. Carranza · 
CDMX. 2017-09-06 ... Lluvia causa encharcamientos en Iztapalapa y GAM · 
CDMX.",https://www.eluniversal.com.mx/tag/lluvia?page=58
"Reportan inundación en Gustavo A. Madero por lluvias · CDMX. 2018-07-16. El 
C5 informó que en la delegación se registró lluvia con granizo; Metro ...",clima CDMX | El Universal,,"Reportan inundación en Gustavo A. Madero por lluvias · CDMX. 2018-07-16. El 
C5 informó que en la delegación se registró lluvia con granizo; Metro ...",https://www.eluniversal.com.mx/tag/clima-cdmx?page=6
"Se registra lluvia ligera en 8 delegaciones de la CDMX · CDMX. 2018-06-19. El 
C5 de la Ciudad de México detalló que la precipitación pluvial afecta a Gustavo ...",afectaciones de lluvias | El Universal,,"Se registra lluvia ligera en 8 delegaciones de la CDMX · CDMX. 2018-06-19. El 
C5 de la Ciudad de México detalló que la precipitación pluvial afecta a Gustavo ...",https://www.eluniversal.com.mx/tag/afectaciones-de-lluvias
INICIO // Lluvia · Prevén tarde lluviosa y con caída de granizo en CDMX,Lluvia | El Universal,,"INICIO // Lluvia · Prevén tarde lluviosa y con caída de granizo en CDMX ... para 
evitar inundaciones. Pronostican inicio de semana con lluvia y granizo en CDMX
.",https://www.eluniversal.com.mx/tag/lluvia?page=47
"​Protección Civil activa alerta amarilla por lluvia y granizo en la CDMX · CDMX. 
2018-04-",lluvia en la CDMX | El Universal,,"​Protección Civil activa alerta amarilla por lluvia y granizo en la CDMX · CDMX. 
2018-04- ... Lluvia de este jueves deja tres inundaciones en Iztapalapa · CDMX.",https://www.eluniversal.com.mx/tag/lluvia-en-la-cdmx?page=5
"​Se registra lluvia en 6 delegaciones de CDMX · CDMX. 2018-08-22. Protección 
Civil capitalina activó alerta amarilla por pronóstico de lluvia y caída de ...",delegaciones | El Universal,,"​Se registra lluvia en 6 delegaciones de CDMX · CDMX. 2018-08-22. Protección 
Civil capitalina activó alerta amarilla por pronóstico de lluvia y caída de ...",https://www.eluniversal.com.mx/tag/delegaciones
"Lluvia deja inundaciones en la delegación Gustavo A. Madero · CDMX. 2018-06-
17. Autoridades capitalinas laboran reportan además que hay un árbol caída ...",lluvia ligera | El Universal,,"Lluvia deja inundaciones en la delegación Gustavo A. Madero · CDMX. 2018-06-
17. Autoridades capitalinas laboran reportan además que hay un árbol caída ...",https://www.eluniversal.com.mx/tag/lluvia-ligera?page=1
"De acuerdo con la Secretaría de Protección Civil, algunos de los puntos más 
propensos a inundaciones se ubican en las delegaciones Gustavo A. Madero, ...",puntos rojos por inundación Jefe de Gobierno | El Universal,,"De acuerdo con la Secretaría de Protección Civil, algunos de los puntos más 
propensos a inundaciones se ubican en las delegaciones Gustavo A. Madero, ...",https://www.eluniversal.com.mx/tag/puntos-rojos-por-inundacion-jefe-de-gobierno
Lluvia deja inundaciones en diferentes puntos de la CDMX · CDMX,Lluvia | El Universal,,"Lluvia deja inundaciones en diferentes puntos de la CDMX · CDMX ... Prevén 
domingo con tormentas fuertes y posible caída de granizo en CDMX · CDMX.",http://www.eluniversal.com.mx/tag/lluvia?page=33
"Emiten desde el lunes alerta de lluvias con aplicación ""911 CDMX"" · CDMX. 
2018-09-02",pronóstico de lluvia | El Universal,,"Emiten desde el lunes alerta de lluvias con aplicación ""911 CDMX"" · CDMX. 
2018-09-02 ... Reportan inundación en Gustavo A. Madero por lluvias · CDMX.",https://www.eluniversal.com.mx/tag/pronostico-de-lluvia
"El C5 informó que en la delegación se registró lluvia con granizo; Metro 
implementa marcha de seguridad por lluvias en la CDMX. Minuto por minuto. 03:
11 ...",inundaciones en GAM | El Universal,,"El C5 informó que en la delegación se registró lluvia con granizo; Metro 
implementa marcha de seguridad por lluvias en la CDMX. Minuto por minuto. 03:
11 ...",https://www.eluniversal.com.mx/tag/inundaciones-en-gam
"La tromba que cayó este miércoles provocó caída de árboles e inundaciones en 
la parte sur de Morelia; hasta el momento no se registran víctimas pese a la ...",fuertes lluvias | El Universal,,"La tromba que cayó este miércoles provocó caída de árboles e inundaciones en 
la parte sur de Morelia; hasta el momento no se registran víctimas pese a la ...",https://www.eluniversal.com.mx/tag/fuertes-lluvias?page=4
"Las lluvias provocaron inundaciones de consideración en Venustiano Carranza, 
... Encharcamientos en la Gustavo A. Madero donde también hubo granizo.",Lluvias colapsan oriente de la CdMx,,"Las lluvias provocaron inundaciones de consideración en Venustiano Carranza, 
... Encharcamientos en la Gustavo A. Madero donde también hubo granizo.",https://www.milenio.com/politica/comunidad/lluvias-colapsan-oriente-de-la-cdmx
"... al oriente de la ciudad, mientras que en Azcapotzalco, Gustavo A. Madero, 
Benito Juárez y Xochimilco hay lluvia ligera.",Cae granizada en Iztapalapa y Coyoacán,,"... al oriente de la ciudad, mientras que en Azcapotzalco, Gustavo A. Madero, 
Benito Juárez y Xochimilco hay lluvia ligera. ... Milenio Digital. Ciudad de México 
/ 30.08.2018 18:26:54 ... Por inundación, no circules por Eje 6 Sur y Eje 8 Sur, 
Col.",https://www.milenio.com/politica/comunidad/cae-granizada-en-iztapalapa-y-coyoacan
"Se registran 16 inundaciones por lluvias en CDMX · CDMX. 2018-08-07. El C5 
señaló que se presentaron encharcamientos en Calzada Vallejo y Circuito ...",Lluvia | El Universal,,"Se registran 16 inundaciones por lluvias en CDMX · CDMX. 2018-08-07. El C5 
señaló que se presentaron encharcamientos en Calzada Vallejo y Circuito ...",https://www.eluniversal.com.mx/tag/lluvia?page=30
"Reportan inundación en Gustavo A. Madero por lluvias · CDMX. 2018-07-16. El 
C5 informó que en la delegación se registró lluvia con granizo; Metro ...",afectaciones por lluvias | El Universal,,"Reportan inundación en Gustavo A. Madero por lluvias · CDMX. 2018-07-16. El 
C5 informó que en la delegación se registró lluvia con granizo; Metro ...",https://www.eluniversal.com.mx/tag/afectaciones-por-lluvias?page=3
Lluvias dejan 17 puntos con inundaciones en CDMX · CDMX. 2018-09-19,Lluvia | El Universal,,"Lluvias dejan 17 puntos con inundaciones en CDMX · CDMX. 2018-09-19 ... Se 
activa alerta amarilla por lluvia en 5 delegaciones de CDMX · CDMX. 2018-09- ...",https://www.eluniversal.com.mx/tag/lluvia?page=18
"Por lluvia, hay alerta amarilla en 9 delegaciones de CDMX · CDMX. 2018-09-21 
... Lluvias dejan 17 puntos con inundaciones en CDMX · CDMX. 2018-09-19.",reporte del clima | El Universal,,"Por lluvia, hay alerta amarilla en 9 delegaciones de CDMX · CDMX. 2018-09-21 
... Lluvias dejan 17 puntos con inundaciones en CDMX · CDMX. 2018-09-19.",https://www.eluniversal.com.mx/tag/reporte-del-clima?page=3
"Dice que ha sido insuficiente el trabajo para combatir a porros; pide AMLO a 
rector castigo a agresores de estudiantes en CU. Inundaciones en Coahuila.",Conagua | El Universal,,"Dice que ha sido insuficiente el trabajo para combatir a porros; pide AMLO a 
rector castigo a agresores de estudiantes en CU. Inundaciones en Coahuila.",https://www.eluniversal.com.mx/tag/conagua?page=34
"Se informó que la lluvia ligera se presentó en Cuajimalpa, Tlalpan y Xochimilco, 
mientras que las fuertes precipitaciones se registraron en Gustavo A. Madero, ...",llueve en CDMX | El Universal,,"Se informó que la lluvia ligera se presentó en Cuajimalpa, Tlalpan y Xochimilco, 
mientras que las fuertes precipitaciones se registraron en Gustavo A. Madero, ...",https://www.eluniversal.com.mx/tag/llueve-en-cdmx?page=4
"Se registra lluvia ligera en 9 delegaciones de CDMX · CDMX. 2018-09-05. Las 
precipitaciones se registraron en Gustavo A. Madero, Azcapotzalco, Miguel ...",reporte meteorológico | El Universal,,"Se registra lluvia ligera en 9 delegaciones de CDMX · CDMX. 2018-09-05. Las 
precipitaciones se registraron en Gustavo A. Madero, Azcapotzalco, Miguel ...",https://www.eluniversal.com.mx/tag/reporte-meteorologico?page=6
"CDMX. 2018-09-18. El C5 informó que en la delegación Gustavo A. Madero se 
reportaron más de tres anegaciones; informó que las inundaciones por la lluvia ...",afectaciones por lluvias | El Universal,,"CDMX. 2018-09-18. El C5 informó que en la delegación Gustavo A. Madero se 
reportaron más de tres anegaciones; informó que las inundaciones por la lluvia ...",https://www.eluniversal.com.mx/tag/afectaciones-por-lluvias?page=2
... árboles e inundaciones en varias colonias de la alcaldía Gustavo A. Madero;,"Se inunda Hospital General Ticomán por lluvia; afectada, gran parte ...",,"... árboles e inundaciones en varias colonias de la alcaldía Gustavo A. Madero; ... 
lluvia de este miércoles en la Ciudad de México, afectó a la alcaldía Gustavo ...",https://aristeguinoticias.com/1110/mexico/se-inunda-hospital-general-ticoman-por-lluvia-afectada-gran-parte-de-la-gam-fotos
Lluvia desquicia la Ciudad de México,Lluvia desquicia la Ciudad de México,,"Lluvia desquicia la Ciudad de México ... Azcapotzalco, Cuauhtémoc y Gustavo A. 
Madero; en la primera demarcación se registró el mayor nivel de lluvia.",https://www.milenio.com/estados/lluvia-desquicia-la-ciudad-de-mexico/page/1
"El SMN reporta fuertes lluvias en la CdMx; se registran severas inundaciones en 
el Edomex",SMN - Parte 4,Por Redacción / Sin Embargo,"El SMN reporta fuertes lluvias en la CdMx; se registran severas inundaciones en 
el Edomex ... Lluvias en CdMx provocan caída de espectacular en la GAM y ...",https://www.sinembargo.mx/tag/smn/page/4
"Las lluvias provocaron inundaciones de consideración en Venustiano Carranza, 
... Encharcamientos en la Gustavo A. Madero donde también hubo granizo.",Lluvias colapsan oriente de la CdMx,,"Las lluvias provocaron inundaciones de consideración en Venustiano Carranza, 
... Encharcamientos en la Gustavo A. Madero donde también hubo granizo.",https://www.milenio.com/politica/comunidad/lluvias-colapsan-oriente-de-la-cdmx/page/1
"Un día después de la lluvia intensa que provocó caos vial y fallas en el Metro, los 
capitalinos aún padecen los estragos por las inundaciones en la Ciudad de ...",Tras la tormenta... no llega la calma en CdMx,,"Un día después de la lluvia intensa que provocó caos vial y fallas en el Metro, los 
capitalinos aún padecen los estragos por las inundaciones en la Ciudad de ...",https://www.milenio.com/estados/tras-la-tormenta-no-llega-la-calma-en-cdmx/page/1
"Se esperan lluvias muy fuertes y posible caída de granizo en la CDMX · CDMX. 
2019-07-",lluvias CDMX | El Universal,,"Se esperan lluvias muy fuertes y posible caída de granizo en la CDMX · CDMX. 
2019-07- ... Captan en videos inundación en paradero de Indios Verdes · CDMX.",https://www.eluniversal.com.mx/tag/lluvias-cdmx?page=2
Reportan lluvia con granizo en la Gustavo A. Madero · CDMX,lluvia con granizo | El Universal,,"Reportan lluvia con granizo en la Gustavo A. Madero · CDMX ... Reportan caída 
de granizo en tres delegaciones de la CDMX · CDMX ... Lluvia con granizo en 
Tultitlán provoca inundaciones y satura canales de aguas negras · Edomex.",https://www.eluniversal.com.mx/tag/lluvia-con-granizo
"Dos hombres que se cubrían de la lluvia bajo un árbol en el deportivo Santa 
Cruz Meyehualco, en Iztapalapa, fueron alcanzados por un rayo, uno de ellos 
fue ...",lluvia en CDMX | El Universal,,"Dos hombres que se cubrían de la lluvia bajo un árbol en el deportivo Santa 
Cruz Meyehualco, en Iztapalapa, fueron alcanzados por un rayo, uno de ellos 
fue ...",https://www.eluniversal.com.mx/tag/lluvia-en-cdmx
"Deslaves, desalojados e inundaciones, las afectaciones de 'Narda' en imágenes. 
Guerrero, Oaxaca, Colima y Nayarit han sido los estados más afectados por ...",Fotos: Las afectaciones de Narda en costas del suroeste mexicano,,"Deslaves, desalojados e inundaciones, las afectaciones de 'Narda' en imágenes. 
Guerrero, Oaxaca, Colima y Nayarit han sido los estados más afectados por ...",https://www.milenio.com/estados/fotos-afectaciones-narda-costas-suroeste-mexicano-oaxaca-colima-nayarit-guerrero-sinaloa
El Caballito. El Caballito. Ineludible tema para el Congreso de la CDMX,Bajo Reserva,,"El Caballito. El Caballito. Ineludible tema para el Congreso de la CDMX ... 
Venecia se prepara ante pronóstico de nuevas inundaciones · Mundo.",https://www.eluniversal.com.mx/inicio/metropoli/cdmx/ciencia-y-salud/ciencia/mundo/espectaculos/cultura/artes-visuales/deportes
"CDMX. 2020-07-02. El secretario de Movilidad señaló que los trabajos de 
rehabilitación iniciarán en septiembre. bloqueo indios verdes · Reportan caos 
vial en ...",Indios Verdes | El Universal,,"CDMX. 2020-07-02. El secretario de Movilidad señaló que los trabajos de 
rehabilitación iniciarán en septiembre. bloqueo indios verdes · Reportan caos 
vial en ...",https://www.eluniversal.com.mx/tag/indios-verdes
"Alistan reapertura de centros religiosos en CDMX. 11/07/2020. 12:59. CDMX 
aplicará 100 mil pruebas más para detectar covid-19. 11/07/2020. 12:44.",COMUNIDAD,"Felicita Claudia Sheinbaum a abogados en su día

17:21 La jefa de Gobierno exhortó a los litigantes de la capital a luchar por el acceso a la justicia de los más vulnerables y las mujeres","Alistan reapertura de centros religiosos en CDMX. 11/07/2020. 12:59. CDMX 
aplicará 100 mil pruebas más para detectar covid-19. 11/07/2020. 12:44.",https://www.excelsior.com.mx/comunidad
"Tras granizada Azcapotzalco, Cuauhtémoc y Gustavo A. Madero se mantienen 
en alerta roja",Reconstrucción tras sismo,,"Tras granizada Azcapotzalco, Cuauhtémoc y Gustavo A. Madero se mantienen 
en alerta roja ... Granizada deja encharcamientos e inundaciones en la CDMX.",https://www.eluniversal.com.mx/es-noticia/metropoli/cdmx/reconstruccion-tras-sismo?page=1
"Las fuertes lluvias que cayeron la tarde y noche del pasado martes en Querétaro 
provocaron",Se abre socavón en Querétaro tras fuertes lluvias | Aristegui Noticias,,"Las fuertes lluvias que cayeron la tarde y noche del pasado martes en Querétaro 
provocaron ... Las lluvias de la víspera han provocado fuertes inundaciones en 
diversas partes del ... Y los socavones en la CDMX no paran, ahora en la GAM.",https://aristeguinoticias.com/2709/mexico/se-abre-socavon-en-queretaro-tras-fuertes-lluvias/
"La tormenta tropical ha provocado temporal de lluvias en estados como 
Campeche, Yucatán y Quintana Roo, donde ha dejado inundaciones en casas y
 ...","Tormenta Cristóbal, afectaciones en Yucatán, Campeche y ...",,"La tormenta tropical ha provocado temporal de lluvias en estados como 
Campeche, Yucatán y Quintana Roo, donde ha dejado inundaciones en casas y
 ...",https://www.milenio.com/estados/tormenta-cristobal-afectaciones-yucatan-campeche-quintana-roo
